,r1,r2,r3,r4,r5,r6,r7,r8,f1,f2,f3,f4,f5,f6,f7,f8,label
0,10.146032,1.4691367,-2.4546216,0.4567947,-5.65583,3.2136774,-5.381759,-6.9492545,3.0699112,0.8891357,0.61641043,-2.1103334,-1.8714577,1.9971005,0.77043545,-2.459413,0
1,14.305586,0.8893239,-2.853316,1.6822721,-6.6730595,3.9403896,-6.0812616,-9.060043,2.2581103,-0.21261811,1.8082095,-2.5715365,-0.97061294,1.3754842,1.4636313,-2.592424,0
2,10.958923,1.3123894,-1.9183391,0.25269443,-5.3012424,3.081445,-5.1630635,-7.076854,1.8566862,-0.116455,1.5435262,-1.8268123,-1.068643,1.7027957,1.80989,-3.1978054,0
3,11.238062,1.3016118,-1.7443587,0.23212463,-5.325746,2.230699,-4.8168416,-7.574102,1.7583375,-0.3137162,2.799419,-2.183697,-0.6589702,1.9340724,0.59683704,-3.6232715,0
4,11.32793,0.49634436,-1.3819635,0.14993244,-5.804343,3.658089,-4.9181643,-7.9177575,3.1407757,0.81703424,2.1736612,-2.4338067,-1.4089266,1.7717874,-0.17286,-3.3027089,0
5,12.055485,0.6188323,-1.3949437,0.30575162,-6.352675,3.3521986,-4.316531,-8.775447,2.2447164,0.24473181,3.0806909,-2.3874912,-0.5115801,1.9999311,-0.108370334,-3.5782285,0
6,11.170134,-0.04719998,-0.7214628,-0.39236897,-5.70438,4.370419,-4.234952,-8.019867,2.3015802,0.16064167,2.83338,-2.2203178,-0.9766837,1.6940066,0.60592914,-3.5616941,0
7,13.016423,1.0018024,-1.686365,-0.039454926,-6.835466,4.1416764,-5.2989664,-9.4135,1.8100973,-0.45794895,4.326256,-1.8849043,-0.54135066,1.8289522,-0.47773096,-4.2604423,0
8,11.247823,0.21818383,-0.72578263,-0.4714697,-5.904131,5.0006847,-4.7616515,-7.878178,1.5977608,0.696422,2.309747,-1.9943951,-0.81578004,2.052581,0.5956912,-3.582668,0
9,12.145773,0.17626798,-1.2127434,-0.0076240078,-6.658552,4.8234453,-4.9232173,-9.015578,1.3205963,0.63752645,1.7264285,-1.2947658,-1.2306528,2.3415983,0.94605887,-3.5346396,0
10,9.5450115,0.48047274,-0.5088464,-1.0631776,-4.9616942,4.622497,-4.6997576,-6.8736877,1.771675,0.29432386,2.5061333,-2.0249894,-1.1166754,1.138584,1.4410905,-3.2707212,0
11,8.881657,0.7784898,-0.6777745,-0.69975156,-5.1920385,3.9974434,-5.1205916,-6.989514,2.3134177,0.23817015,3.580764,-1.5853965,-1.172547,1.3246077,0.4010751,-3.9793541,0
12,9.348917,-0.027533384,-0.69310725,-0.8229931,-4.7947965,4.5168486,-4.436111,-6.324085,2.3451037,-0.51955134,4.191426,-2.93053,-0.9156862,1.3787632,0.40588364,-3.4827588,0
13,7.701261,-0.5228978,-0.43639848,-0.524847,-4.257522,4.619572,-4.497111,-5.574859,1.9076027,-0.5787514,2.5514584,-2.2513237,-1.0642653,2.2147856,1.4993998,-2.8878462,0
14,11.217635,-0.14683846,-1.8793778,0.5978614,-5.935654,4.1331553,-3.8655155,-6.8638744,2.433226,-0.29538116,2.7868605,-2.4186523,-1.0013216,1.409311,1.0052046,-3.0460482,0
15,4.3333235,14.199923,-6.7893157,-3.9285908,-6.0419183,-0.97581285,-9.692423,-8.201365,2.4925303,18.231041,-5.7537975,-1.4809619,-2.5522435,1.752134,-11.272413,-2.537172,1
16,4.2280436,15.49161,-7.7472587,-3.2277915,-6.8686013,-1.2139359,-10.756274,-9.106436,3.281212,23.18264,-7.245184,-1.7744796,-3.0801177,2.5369732,-15.567858,-2.6902034,1
17,2.7924743,14.516934,-6.6639376,-5.798364,-6.264739,-0.9390719,-10.350009,-8.613026,3.7317371,20.374575,-6.2018156,-1.6867015,-3.0784504,1.93823,-12.964718,-2.8307445,1
18,2.1666179,13.391631,-5.5532002,-5.210044,-5.330487,-0.7111195,-9.374647,-8.250571,3.4678786,22.149168,-6.691945,-1.3707747,-3.2951674,2.2975953,-15.334347,-2.3998353,1
19,3.3042006,12.391294,-5.2997055,-3.3154354,-4.902088,0.12029497,-9.178015,-7.5354075,3.3032453,21.408026,-6.2001066,-1.4218026,-2.9466932,2.1429014,-14.543608,-2.818479,1
20,4.3972707,12.258068,-5.1008244,-1.5681045,-4.7108026,0.2476425,-8.590721,-7.212407,3.601862,22.488417,-6.1475554,-1.0129194,-2.922599,1.9970502,-15.60813,-2.7544096,1
21,5.061805,10.449889,-4.1368475,0.28963453,-4.653441,1.1298126,-6.8664136,-6.3799734,3.622547,26.434395,-7.398389,-1.8196242,-2.9812193,2.0900397,-18.962227,-2.8878095,1
22,3.5146244,11.9386635,-4.9972687,-1.5188735,-4.5981464,1.0015221,-8.873946,-6.344849,3.5217295,26.113045,-7.3024125,-1.352766,-3.0115118,2.135019,-19.586557,-2.3665016,1
23,2.7679546,11.39546,-4.484734,-2.1060712,-4.5214376,0.687015,-7.7009273,-6.1680083,3.4321144,26.405214,-7.452411,-1.2261695,-3.1193492,2.1355417,-19.319847,-2.9331095,1
24,3.6038861,12.364077,-5.286047,-2.6327317,-5.0552444,0.7856808,-9.381914,-7.102047,4.6717343,29.565449,-8.768981,-2.204618,-3.7441971,2.490081,-21.425644,-2.5392678,1
25,3.6355247,11.669003,-5.055186,-1.8157605,-5.060998,0.80443656,-7.8786445,-6.5940156,4.763416,26.108908,-6.5130916,-2.3311682,-3.5504394,2.192162,-19.351562,-3.166568,1
26,3.7073903,12.076997,-4.7491217,-3.1541986,-4.9834013,1.017334,-8.422998,-7.341751,3.3527987,25.09334,-7.4710007,-1.6487728,-3.5425293,3.2917356,-18.797031,-2.0860596,1
27,4.983499,11.1108465,-4.8661437,-0.6427135,-4.678199,0.7107358,-7.408572,-6.5256157,4.1975827,23.352268,-6.5292163,-1.367981,-3.3088713,1.9073486,-16.305838,-2.8916833,1
28,3.5552268,11.768796,-5.0943904,-2.4859111,-4.9500194,0.48395973,-8.18011,-6.932222,5.452573,27.236513,-8.675171,-1.5220563,-4.2547665,3.213173,-19.789362,-2.4446135,1
29,4.3834023,9.406376,-4.261258,-0.23378807,-4.0676036,0.30042756,-6.1789336,-5.366048,6.164616,27.278616,-8.008478,-1.8968581,-4.435677,1.9220839,-18.706217,-3.1973882,1
30,3.4684067,10.454669,-4.4141088,-2.5372477,-4.4395804,0.3417595,-7.362602,-6.8010173,3.9680116,21.476583,-7.3610144,-1.7023293,-3.842006,3.7717848,-14.678051,-1.8436365,1
31,3.2598252,9.955772,-4.272092,-1.7049005,-4.3315277,0.060135137,-6.8984146,-5.9182734,6.1872163,25.681871,-8.017083,-1.6832389,-5.1032343,2.118046,-17.157772,-2.9426515,1
32,3.962075,11.467487,-4.7389073,-2.5178368,-4.971172,0.30693507,-8.274302,-7.5462832,5.8146796,26.689089,-9.520591,-1.6237541,-5.2111645,3.7020426,-18.981155,-2.2685006,1
33,3.839003,10.993355,-4.4617176,-1.9485251,-4.689208,0.1803718,-7.5968876,-6.735841,5.4899015,20.030392,-6.624004,-1.0947696,-4.7149677,2.3645613,-12.354825,-3.3221202,1
34,3.208386,11.8841095,-5.1696997,-2.848668,-4.9775124,-0.098593906,-8.443251,-7.3736944,4.811032,19.162077,-7.5252132,-0.6934154,-5.1179156,5.469484,-13.425356,-3.3188639,1
35,3.7180707,10.970911,-4.557325,-1.9341815,-4.5197625,0.060723554,-7.6108694,-7.068243,5.366545,19.006186,-6.7408137,0.22626582,-5.1596727,2.0324752,-11.530228,-3.8021076,1
36,3.3958943,12.00134,-5.0702496,-3.3233602,-4.9798326,-0.19722341,-8.26618,-7.446515,4.1910677,17.127466,-7.4878955,0.06261512,-5.3474526,4.435481,-10.802534,-2.2843912,1
