20080321154304_e_094,data\clipped_data\rgb\20080321154304_e_094,37,1
20080321154304_e_148,data\clipped_data\rgb\20080321154304_e_148,99,1
20080321154304_e_149,data\clipped_data\rgb\20080321154304_e_149,47,1
20080321154304_e_162,data\clipped_data\rgb\20080321154304_e_162,18,1
20080321154304_e_164,data\clipped_data\rgb\20080321154304_e_164,41,1
20080321154304_e_173,data\clipped_data\rgb\20080321154304_e_173,34,1
20080321154304_e_217,data\clipped_data\rgb\20080321154304_e_217,20,1
20080321154304_e_218,data\clipped_data\rgb\20080321154304_e_218,43,1
20080321154304_e_259,data\clipped_data\rgb\20080321154304_e_259,86,1
20080321154304_e_303,data\clipped_data\rgb\20080321154304_e_303,65,1
20080321154304_e_309,data\clipped_data\rgb\20080321154304_e_309,41,1
20080321154304_e_334,data\clipped_data\rgb\20080321154304_e_334,91,1
20080321154304_e_342,data\clipped_data\rgb\20080321154304_e_342,38,1
20080321154304_e_367,data\clipped_data\rgb\20080321154304_e_367,62,1
20080321154304_gb_407,data\clipped_data\rgb\20080321154304_gb_407,71,2
20080321154304_gb_408,data\clipped_data\rgb\20080321154304_gb_408,48,2
20080321154304_gb_409,data\clipped_data\rgb\20080321154304_gb_409,63,2
20080321154304_gb_410,data\clipped_data\rgb\20080321154304_gb_410,59,2
20080321154304_gb_411,data\clipped_data\rgb\20080321154304_gb_411,60,2
20080321154304_gb_412,data\clipped_data\rgb\20080321154304_gb_412,62,2
20080321154304_gb_413,data\clipped_data\rgb\20080321154304_gb_413,59,2
20080321154304_g_068,data\clipped_data\rgb\20080321154304_g_068,78,2
20080321154304_g_069,data\clipped_data\rgb\20080321154304_g_069,39,2
20080321154304_g_205,data\clipped_data\rgb\20080321154304_g_205,54,2
20080321154304_g_206,data\clipped_data\rgb\20080321154304_g_206,55,2
20080321154304_g_207,data\clipped_data\rgb\20080321154304_g_207,53,2
20080321154304_g_300,data\clipped_data\rgb\20080321154304_g_300,62,2
20080321154304_g_301,data\clipped_data\rgb\20080321154304_g_301,86,2
20080321154304_ha_175,data\clipped_data\rgb\20080321154304_ha_175,85,3
20080321154304_ha_187,data\clipped_data\rgb\20080321154304_ha_187,52,3
20080321154304_ha_188,data\clipped_data\rgb\20080321154304_ha_188,72,3
20080321154304_ha_189,data\clipped_data\rgb\20080321154304_ha_189,47,3
20080321154304_ha_190,data\clipped_data\rgb\20080321154304_ha_190,44,3
20080321154304_ha_196,data\clipped_data\rgb\20080321154304_ha_196,51,3
20080321154304_ha_197,data\clipped_data\rgb\20080321154304_ha_197,61,3
20080321154304_ha_198,data\clipped_data\rgb\20080321154304_ha_198,69,3
20080321154304_ha_199,data\clipped_data\rgb\20080321154304_ha_199,63,3
20080321154304_ha_200,data\clipped_data\rgb\20080321154304_ha_200,75,3
20080321154304_ha_201,data\clipped_data\rgb\20080321154304_ha_201,76,3
20080321154304_ha_215,data\clipped_data\rgb\20080321154304_ha_215,62,3
20080321154304_ha_216,data\clipped_data\rgb\20080321154304_ha_216,67,3
20080321154304_ha_265,data\clipped_data\rgb\20080321154304_ha_265,27,3
20080321154304_ha_283,data\clipped_data\rgb\20080321154304_ha_283,69,3
20080321154304_ha_311,data\clipped_data\rgb\20080321154304_ha_311,75,3
20080321154304_ha_319,data\clipped_data\rgb\20080321154304_ha_319,55,3
20080321154304_ha_320,data\clipped_data\rgb\20080321154304_ha_320,68,3
20080321154304_ha_321,data\clipped_data\rgb\20080321154304_ha_321,54,3
20080321154304_ha_322,data\clipped_data\rgb\20080321154304_ha_322,52,3
20080321154304_ha_323,data\clipped_data\rgb\20080321154304_ha_323,46,3
20080321154304_ha_327,data\clipped_data\rgb\20080321154304_ha_327,55,3
20080321154304_ha_347,data\clipped_data\rgb\20080321154304_ha_347,91,3
20080321154304_ha_348,data\clipped_data\rgb\20080321154304_ha_348,85,3
20080321154304_ha_349,data\clipped_data\rgb\20080321154304_ha_349,71,3
20080321154304_ha_350,data\clipped_data\rgb\20080321154304_ha_350,50,3
20080321154304_ha_351,data\clipped_data\rgb\20080321154304_ha_351,95,3
20080321154304_ha_356,data\clipped_data\rgb\20080321154304_ha_356,72,3
20080321154304_ha_357,data\clipped_data\rgb\20080321154304_ha_357,41,3
20080321154304_ha_358,data\clipped_data\rgb\20080321154304_ha_358,68,3
20080321154304_ha_359,data\clipped_data\rgb\20080321154304_ha_359,59,3
20080321154304_ha_360,data\clipped_data\rgb\20080321154304_ha_360,66,3
20080321154304_ha_361,data\clipped_data\rgb\20080321154304_ha_361,71,3
20080321154304_ha_362,data\clipped_data\rgb\20080321154304_ha_362,77,3
20080321154304_ha_380,data\clipped_data\rgb\20080321154304_ha_380,43,3
20080321154304_ha_386,data\clipped_data\rgb\20080321154304_ha_386,31,3
20080321154304_ha_387,data\clipped_data\rgb\20080321154304_ha_387,76,3
20080321154304_ha_395,data\clipped_data\rgb\20080321154304_ha_395,44,3
20080321154304_ha_396,data\clipped_data\rgb\20080321154304_ha_396,37,3
20080321154304_ha_405,data\clipped_data\rgb\20080321154304_ha_405,65,3
20080321154304_ha_406,data\clipped_data\rgb\20080321154304_ha_406,32,3
20080321154304_he_023,data\clipped_data\rgb\20080321154304_he_023,28,4
20080321154304_he_090,data\clipped_data\rgb\20080321154304_he_090,49,4
20080321154304_he_121,data\clipped_data\rgb\20080321154304_he_121,15,4
20080321154304_he_236,data\clipped_data\rgb\20080321154304_he_236,39,4
20080321154304_he_266,data\clipped_data\rgb\20080321154304_he_266,20,4
20080321154304_he_328,data\clipped_data\rgb\20080321154304_he_328,41,4
20080321154304_he_330,data\clipped_data\rgb\20080321154304_he_330,28,4
20080321154304_r_008,data\clipped_data\rgb\20080321154304_r_008,20,5
20080321154304_r_013,data\clipped_data\rgb\20080321154304_r_013,15,5
20080321154304_r_019,data\clipped_data\rgb\20080321154304_r_019,25,5
20080321154304_r_031,data\clipped_data\rgb\20080321154304_r_031,31,5
20080321154304_r_040,data\clipped_data\rgb\20080321154304_r_040,18,5
20080321154304_r_042,data\clipped_data\rgb\20080321154304_r_042,26,5
20080321154304_r_045,data\clipped_data\rgb\20080321154304_r_045,31,5
20080321154304_r_054,data\clipped_data\rgb\20080321154304_r_054,88,5
20080321154304_r_061,data\clipped_data\rgb\20080321154304_r_061,33,5
20080321154304_r_075,data\clipped_data\rgb\20080321154304_r_075,22,5
20080321154304_r_087,data\clipped_data\rgb\20080321154304_r_087,65,5
20080321154304_r_096,data\clipped_data\rgb\20080321154304_r_096,23,5
20080321154304_r_103,data\clipped_data\rgb\20080321154304_r_103,5,5
20080321154304_r_106,data\clipped_data\rgb\20080321154304_r_106,16,5
20080321154304_r_129,data\clipped_data\rgb\20080321154304_r_129,23,5
20080321154304_r_134,data\clipped_data\rgb\20080321154304_r_134,52,5
20080321154304_r_142,data\clipped_data\rgb\20080321154304_r_142,93,5
20080321154304_r_146,data\clipped_data\rgb\20080321154304_r_146,36,5
20080321154304_r_147,data\clipped_data\rgb\20080321154304_r_147,85,5
20080321154304_r_152,data\clipped_data\rgb\20080321154304_r_152,46,5
20080321154304_r_155,data\clipped_data\rgb\20080321154304_r_155,36,5
20080321154304_r_156,data\clipped_data\rgb\20080321154304_r_156,36,5
20080321154304_r_157,data\clipped_data\rgb\20080321154304_r_157,24,5
20080321154304_r_176,data\clipped_data\rgb\20080321154304_r_176,14,5
20080321154304_r_194,data\clipped_data\rgb\20080321154304_r_194,48,5
20080321154304_r_210,data\clipped_data\rgb\20080321154304_r_210,43,5
20080321154304_r_213,data\clipped_data\rgb\20080321154304_r_213,35,5
20080321154304_r_243,data\clipped_data\rgb\20080321154304_r_243,67,5
20080321154304_r_247,data\clipped_data\rgb\20080321154304_r_247,18,5
20080321154304_r_267,data\clipped_data\rgb\20080321154304_r_267,46,5
20080321154304_r_281,data\clipped_data\rgb\20080321154304_r_281,29,5
20080321154304_r_286,data\clipped_data\rgb\20080321154304_r_286,24,5
20080321154304_r_288,data\clipped_data\rgb\20080321154304_r_288,21,5
20080321154304_r_307,data\clipped_data\rgb\20080321154304_r_307,22,5
20080321154304_r_317,data\clipped_data\rgb\20080321154304_r_317,36,5
20080321154304_r_324,data\clipped_data\rgb\20080321154304_r_324,43,5
20080321154304_r_353,data\clipped_data\rgb\20080321154304_r_353,56,5
20080321154304_r_354,data\clipped_data\rgb\20080321154304_r_354,56,5
20080321154304_r_371,data\clipped_data\rgb\20080321154304_r_371,19,5
