,r1,r2,r3,r4,r5,r6,r7,r8,f1,f2,f3,f4,f5,f6,f7,f8,label
0,4.0568457,6.6380715,2.1265419,-2.880579,-1.3458879,6.0739374,-1.4297928,-4.4404407,5.1357145,5.8373094,0.55329955,-1.4164182,-0.90555966,0.35019836,-0.505973,-4.135946,0
1,4.992624,6.139479,2.4794977,-2.3810782,-1.6154236,6.5358186,-1.5847005,-4.1512856,3.1371133,3.8626206,1.1379247,-2.1462908,0.11404753,0.92495805,-0.67329574,-3.7883005,0
2,5.3957214,7.497062,1.9054291,-2.0593944,-2.049749,7.043402,-1.8655782,-4.70365,4.220931,3.7272274,1.3879318,-0.99593234,-0.16676715,0.2281314,-0.85603714,-4.1542325,0
3,4.9918923,8.639558,2.5386422,-2.984006,-1.7673202,8.079536,-2.2363102,-4.423536,1.961159,2.581217,2.5296834,-1.6218811,1.4716654,0.80278647,-0.75632846,-4.9820757,0
4,4.405881,7.443769,2.1404927,-2.4127462,-1.2494575,6.616426,-1.4029384,-4.288286,3.7497358,2.9419637,-0.1522326,0.78993833,-1.0163862,0.46670875,-0.44373062,-3.6405928,0
5,4.540589,8.62559,3.2853308,-3.395413,-1.5234001,6.5815706,-0.6958455,-4.4391584,2.831454,1.4629017,0.40621978,-0.54493,-1.0318108,1.961735,-0.33961877,-4.5334578,0
6,4.7270637,8.796571,1.9684155,-2.7708802,-1.9735664,6.8469043,-1.6066562,-4.7394004,2.5431602,2.0490427,0.5726427,-1.2476754,-0.17216052,0.6491745,0.23934308,-3.3779707,0
7,3.9835758,9.5372095,2.451688,-3.688782,-1.9270984,7.326229,-1.3916754,-5.0155478,2.7638874,2.0724597,0.38723966,-0.96557665,-0.7819651,0.67753756,0.6463865,-4.04057,0
8,3.8543115,10.4628105,2.9294202,-4.5214233,-1.3638153,6.698229,-0.72629744,-4.994556,2.2296286,1.3573273,-0.02475436,-0.7341242,-1.0240037,0.8857156,0.9152647,-2.9406307,0
9,4.295869,10.535887,3.5064232,-4.614872,-2.1365547,6.37441,-0.80982876,-5.20058,2.4809232,1.5165317,1.2199305,-1.6678466,-0.56488085,0.95721954,0.23696676,-3.7765768,0
10,4.2831516,10.828811,2.9557052,-4.7179613,-1.7938788,7.420894,-0.9393588,-5.120438,1.2369583,0.8264278,1.908612,-1.9318622,-0.8248432,1.5480134,1.3299456,-3.1498344,0
11,4.7491455,8.645506,2.5568116,-4.3892007,-2.297624,7.646168,-1.4015433,-5.373988,2.1021216,0.783971,1.3978112,-1.5063187,-0.62073106,0.18252477,1.1221261,-3.0323954,0
12,5.681255,8.838218,2.029717,-2.965427,-2.7723134,7.2240815,-1.3986106,-5.4568353,2.0285995,1.0530283,1.2048818,-1.6185331,-0.95765173,0.5462104,1.5131828,-2.7472456,0
13,4.783971,7.898614,1.894283,-3.111541,-2.356091,5.974125,-1.339789,-5.495118,2.9031603,1.4516728,0.060532518,-1.1371257,-1.0438702,0.6524015,0.5421343,-2.7496035,0
14,6.2629113,7.801693,1.6109389,-2.700184,-2.5071478,7.082672,-1.6656156,-5.1340833,2.9081826,1.6433504,-0.132665,-1.4371889,-1.7504059,0.7987867,0.9558368,-2.5378861,0
15,4.3145685,7.3401875,2.0376415,-2.47925,-2.0474942,6.2111917,-1.4407315,-5.7283125,2.5143008,1.0519291,0.78220856,-1.5468558,-1.1068808,0.6814163,1.2985275,-2.8355494,0
16,3.6249185,7.711463,1.4919795,-1.9828242,-2.8887584,6.831874,-2.3944848,-6.038286,3.3237805,2.1450105,-0.017831251,-1.1956998,-1.6152521,0.2459315,0.75251925,-2.6745796,0
17,2.7848053,7.645725,1.2755681,-2.8241105,-2.234601,5.563911,-2.0592725,-5.422131,2.5619268,1.2597542,0.34540975,-1.8574069,-1.5469835,1.365235,0.61740315,-2.7939749,0
18,3.662136,9.105125,1.2489159,-3.644999,-2.311499,6.9983606,-1.5553398,-4.9760785,3.1274967,2.872599,0.23264682,-2.0928316,-2.162236,2.2386248,-0.41524175,-3.101425,0
19,3.0581338,8.975186,1.9595526,-4.30676,-1.6355808,6.5499163,-0.8579008,-4.412209,2.211924,2.2958944,0.5563893,-2.4851208,-2.073396,2.46237,0.2927788,-3.0031176,0
20,3.2929916,9.135087,2.1616583,-4.537434,-1.6214575,7.0594506,-0.8342327,-4.534589,3.2374372,2.4605172,0.71317685,-1.9707444,-1.722534,1.2889023,0.3190586,-3.2360334,0
21,1.8552976,7.399863,2.7648885,-4.0985813,-0.35812455,5.585387,-0.45545098,-4.210065,2.3508174,2.1530728,1.39703,-2.6573093,-1.7106628,2.199026,-0.113637954,-3.3106139,0
22,2.283031,7.095656,2.561202,-3.4521542,-0.13972594,5.448998,-0.19728872,-3.044645,3.490456,3.041454,0.71776354,-2.6399024,-1.7867962,2.5103405,-0.6332333,-3.835128,0
23,1.9856249,7.7970853,2.8725648,-3.942434,-0.70322764,6.459189,-0.57512045,-4.1514754,2.612092,2.5443459,1.6015656,-2.4252977,-1.6907088,2.0431306,-0.0854238,-3.7055573,0
24,1.7129014,5.082066,2.988348,-2.3487203,-0.11552654,6.3424835,-1.1824558,-3.9958682,3.6330602,3.6310449,0.7919895,-2.119561,-2.0825315,1.6494656,0.2740724,-3.7141604,0
25,1.7216991,4.852203,2.2975214,-2.6691298,-1.000354,5.302913,-1.3756921,-3.902051,3.754197,3.2992995,0.32353616,-1.9198989,-1.739288,1.3308976,-0.3042078,-3.6214027,0
26,2.2991116,5.093026,2.3466473,-2.457437,-1.0896219,4.114551,-0.9418529,-3.6118608,2.7155395,2.5334084,0.35492867,-1.9055233,-1.8767924,2.1355243,0.39053482,-3.3673284,0
27,4.758202,5.3848042,1.8925743,-2.487641,-2.2723048,5.7340417,-2.2661233,-4.7350583,3.0157845,3.3241086,0.28421918,-1.3142506,-1.6887311,1.314937,0.5312587,-3.4638355,0
28,4.500206,4.5389214,1.6747967,-2.0376894,-1.6088104,4.2945223,-1.839028,-4.4961433,3.3165855,2.7809045,0.41658783,-1.8879735,-1.8860068,1.6355803,0.31286085,-3.625053,0
29,3.1956818,5.645743,2.8090298,-3.4738488,-2.0670974,6.9329953,-1.956374,-5.348814,5.315764,5.4234605,1.4363582,-1.7667278,-1.2489063,0.3355232,-0.59565854,-4.645144,0
30,3.211994,6.115774,2.4934952,-3.5191443,-1.4280603,5.2242384,-1.2087584,-3.9995263,3.9871812,3.4340882,2.5546815,-2.373306,0.109468356,0.54221183,-1.1179858,-4.961811,0
31,9.202061,5.8358536,-1.791786,-0.8332559,-3.7589326,6.5844784,-4.364932,-4.3444033,3.704163,6.233287,-1.4023825,-1.6432598,-2.8114126,6.6550293,-4.393902,-5.371202,0
32,12.833118,5.5589085,-2.3042192,0.17296462,-4.449757,7.2008224,-5.480234,-4.5941772,3.1816266,6.450301,-2.3915315,-2.9669478,-4.185225,9.034007,-4.692426,-4.3125134,0
33,10.893393,6.8027406,-2.0788453,-1.3204768,-3.6105955,6.4768395,-4.3522024,-4.0830784,3.0722668,5.9510207,-1.8092068,-1.4519719,-3.693171,9.350321,-5.438245,-5.8895373,0
34,10.827154,5.867109,-0.85438347,-0.8262265,-3.5659556,6.7178497,-4.837502,-5.161301,3.3797255,5.656689,-1.791616,-1.1291581,-3.243153,6.6273246,-4.092858,-4.1748295,0
35,7.009518,7.2161093,0.08030615,-2.0193973,-2.4505098,5.632808,-2.6814501,-4.1381974,3.587894,5.332254,-0.25988102,-0.90228426,-1.841264,3.5738084,-2.8586538,-4.4455867,0
36,7.613661,7.845995,0.5498083,-2.1839767,-2.3589427,5.2953053,-2.8488557,-4.634421,3.6526046,7.4762473,-2.5608804,-3.0572402,-3.1928833,5.8028455,-3.9393425,-3.0913835,0
37,4.826076,7.0849385,1.0623335,-2.7676873,-1.563375,4.4205575,-1.8182205,-3.9436846,3.0919673,4.446635,-0.47687137,-1.1282433,-1.9606323,4.225829,-1.9354168,-6.1566997,0
38,7.312796,8.54186,0.37903264,-2.4012125,-2.3967752,6.590624,-3.673351,-5.448349,3.924686,6.7571754,-3.5667913,-2.4896889,-3.7341652,6.2674503,-4.4961824,-3.4318292,0
39,5.1691346,8.066328,1.0169644,-2.3390183,-1.5552473,5.912532,-2.1344736,-4.6963086,4.8902836,7.1550074,-2.3677256,-0.439647,-2.8936412,3.247268,-4.1654625,-4.544699,0
40,7.02456,8.664206,0.4151132,-1.7398858,-2.2439978,6.154053,-3.2273448,-5.18118,2.958167,3.497126,-0.94379,-1.3064992,-1.8555895,6.294624,-3.4263825,-5.8039627,0
41,4.89214,7.542288,1.2055589,-1.5318834,-1.9717005,5.750561,-2.6388857,-4.948907,3.2939887,4.879161,-0.8972431,-0.971887,-1.8882741,3.6333544,-2.352912,-5.4069533,0
42,4.987411,6.775872,1.0608073,-1.7386363,-1.7850511,5.8745317,-2.9978633,-4.9311905,5.5937233,6.0780463,-2.0920942,-0.9171611,-2.2729778,3.6739833,-4.5068183,-5.1938863,0
43,1.7625492,5.9277434,2.3765652,-1.7517654,-0.55116975,4.7801094,-1.5798447,-3.9077423,6.1666226,7.6610436,-1.6488684,-0.76263547,-2.9430847,3.4537148,-4.6692443,-5.010028,0
