,r1,r2,r3,r4,r5,r6,r7,r8,f1,f2,f3,f4,f5,f6,f7,f8,label
0,6.6201816,7.3974395,-2.0824628,-5.805222,-3.0870605,1.4388583,-5.55929,-5.003818,5.987449,16.72006,-4.2070456,-2.877828,-2.363928,0.10681984,-7.239372,-3.4857354,0
1,5.511261,7.633284,-0.97303545,-5.440736,-3.2251353,1.498914,-4.638782,-6.4330506,5.3235817,9.550798,-1.6029046,-3.3559103,-0.7421879,0.5429842,-4.9125624,-3.6269827,0
2,8.960562,8.204972,-2.5188055,-6.3479896,-3.3033025,1.2946742,-5.9740562,-5.6508455,8.092017,16.114227,-4.0585766,-3.2274225,-3.6081285,0.31436443,-8.676499,-4.945683,0
3,9.319569,8.477181,-2.389139,-6.5366917,-3.4823425,2.0311894,-6.1558084,-6.194152,8.630731,13.948634,-2.1721396,-3.6284106,-4.4421115,0.949209,-8.678233,-5.807041,0
4,11.50766,9.294426,-4.573868,-7.657354,-3.8472018,1.7750154,-8.185481,-5.7929006,8.830879,17.610723,-3.5497382,-3.2912014,-5.711336,0.22118227,-10.126633,-5.9024844,0
5,8.297713,8.45559,-1.9304613,-5.74549,-2.8421075,1.7633502,-5.9769163,-5.5072465,8.227254,11.656071,-1.6882464,-3.2159934,-4.0657754,0.39268252,-6.8474216,-5.760951,0
6,9.721643,8.593248,-3.4313722,-7.037037,-3.6729484,4.2583623,-7.1762524,-5.3320355,7.69754,16.8489,-4.3603153,-2.93335,-5.172615,0.28787577,-8.726667,-4.9488144,0
7,5.732449,8.2955,-1.481365,-4.8930593,-2.8012242,2.8211112,-5.502605,-5.6495996,5.972889,13.340856,-2.8804662,-3.0236692,-3.9985042,1.4914793,-6.8346486,-4.8325186,0
8,10.834338,7.122344,-3.3849835,-5.7179246,-3.3754861,2.894041,-7.1226726,-3.9950473,8.439981,17.255917,-4.6244206,-2.7566679,-4.896763,0.25651565,-8.208228,-5.203683,0
9,8.159234,7.419117,-1.9348036,-4.778776,-2.7012694,1.3750386,-5.493064,-4.3043466,7.5475936,12.710004,-2.1481593,-3.0647979,-3.9747474,0.47031665,-7.18625,-5.4771595,0
